,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1
1174,0,0,7.0,9.0,8.0,9.0,9.0,,,,,
1175,0,0,7.0,9.0,8.0,9.0,9.0,,,,,
1178,0,0,7.0,9.0,8.0,9.0,9.0,,,,,
1179,0,0,7.0,9.0,8.0,9.0,9.0,,,,,
1180,0,0,7.0,9.0,8.0,9.0,9.0,,,,,
1183,0,1,7.0,9.0,8.0,9.0,9.0,,,,,
1184,0,0,7.0,9.0,8.0,9.0,9.0,,,,,
1186,0,0,7.0,9.0,8.0,9.0,9.0,,,,,
1189,0,0,7.0,9.0,9.0,9.0,4.0,,,,,
1191,0,1,7.0,9.0,9.0,9.0,4.0,,,,,
1192,0,0,7.0,9.0,9.0,9.0,4.0,,,,,
1193,0,0,7.0,9.0,9.0,9.0,4.0,,,,,
1196,0,0,7.0,9.0,9.0,9.0,4.0,,,,,
1197,0,0,7.0,9.0,9.0,9.0,4.0,,,,,
1198,0,1,7.0,9.0,9.0,9.0,4.0,,,,,
1201,0,1,7.0,9.0,9.0,9.0,4.0,,,,,
1202,0,1,7.0,9.0,9.0,9.0,4.0,,,,,
1204,0,1,7.0,9.0,9.0,9.0,4.0,,,,,
1207,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1209,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1210,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1211,0,1,9.0,9.0,9.0,9.0,9.0,,,,,
1214,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1215,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1216,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1219,0,1,9.0,9.0,9.0,9.0,9.0,,,,,
1220,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1222,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1225,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1227,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1228,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1229,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1232,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1233,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1234,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1237,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1238,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1240,0,0,9.0,9.0,9.0,9.0,9.0,,,,,
1243,0,0,8.0,9.0,9.0,8.0,10.0,,,,,
1245,0,0,8.0,9.0,9.0,8.0,10.0,,,,,
1246,0,0,8.0,9.0,9.0,8.0,10.0,,,,,
1247,0,1,8.0,9.0,9.0,8.0,10.0,,,,,
1250,0,0,8.0,9.0,9.0,8.0,10.0,,,,,
1251,0,0,8.0,9.0,9.0,8.0,10.0,,,,,
1252,0,1,8.0,9.0,9.0,8.0,10.0,,,,,
1255,0,0,8.0,9.0,9.0,8.0,10.0,,,,,
1256,0,0,8.0,9.0,9.0,8.0,10.0,,,,,
1258,0,0,8.0,9.0,9.0,8.0,10.0,,,,,
1260,0,0,5.0,8.0,7.0,5.0,5.0,,,,,
1267,0,0,5.0,8.0,7.0,5.0,5.0,,,,,
1275,0,1,5.0,8.0,7.0,5.0,5.0,,,,,
1277,0,0,5.0,8.0,7.0,5.0,5.0,,,,,
1284,0,0,6.0,7.0,9.0,7.0,8.0,,,,,
1297,0,0,9.0,10.0,9.0,9.0,9.0,,,,,
1299,0,1,9.0,10.0,9.0,9.0,9.0,,,,,
1300,0,1,9.0,10.0,9.0,9.0,9.0,,,,,
1301,0,1,9.0,10.0,9.0,9.0,9.0,,,,,
1304,0,0,9.0,10.0,9.0,9.0,9.0,,,,,
1305,0,0,9.0,10.0,9.0,9.0,9.0,,,,,
1306,0,0,9.0,10.0,9.0,9.0,9.0,,,,,
1309,0,1,9.0,10.0,9.0,9.0,9.0,,,,,
1310,0,0,9.0,10.0,9.0,9.0,9.0,,,,,
1312,0,1,9.0,10.0,9.0,9.0,9.0,,,,,
1315,0,1,8.0,8.0,8.0,8.0,7.0,,,,,
1317,0,1,8.0,8.0,8.0,8.0,7.0,,,,,
1318,0,0,8.0,8.0,8.0,8.0,7.0,,,,,
1319,0,0,8.0,8.0,8.0,8.0,7.0,,,,,
1322,0,0,8.0,8.0,8.0,8.0,7.0,,,,,
1323,0,0,8.0,8.0,8.0,8.0,7.0,,,,,
1324,0,1,8.0,8.0,8.0,8.0,7.0,,,,,
1327,0,0,8.0,8.0,8.0,8.0,7.0,,,,,
1328,0,0,8.0,8.0,8.0,8.0,7.0,,,,,
1330,0,0,8.0,8.0,8.0,8.0,7.0,,,,,
1335,1,0,6.0,9.0,9.0,9.0,7.0,,,,,
1336,1,0,6.0,9.0,9.0,9.0,7.0,,,,,
1346,1,0,6.0,9.0,9.0,9.0,7.0,,,,,
1350,1,0,7.0,9.0,10.0,8.0,7.0,,,,,
1351,1,0,7.0,9.0,10.0,8.0,7.0,,,,,
1355,1,0,7.0,9.0,10.0,8.0,7.0,,,,,
1359,1,0,7.0,9.0,10.0,8.0,7.0,,,,,
1360,1,0,7.0,9.0,10.0,8.0,7.0,,,,,
1361,1,0,7.0,9.0,10.0,8.0,7.0,,,,,
1362,1,0,7.0,9.0,10.0,8.0,7.0,,,,,
1363,1,0,7.0,9.0,10.0,8.0,7.0,,,,,
1366,1,0,7.0,9.0,10.0,8.0,7.0,,,,,
1367,1,1,7.0,9.0,10.0,8.0,7.0,,,,,
1370,1,0,7.0,9.0,9.0,9.0,9.0,,,,,
1375,1,0,7.0,9.0,9.0,9.0,9.0,,,,,
1376,1,0,7.0,9.0,9.0,9.0,9.0,,,,,
1386,1,0,7.0,5.0,6.0,7.0,6.0,,,,,
1387,1,1,7.0,5.0,6.0,7.0,6.0,,,,,
1391,1,0,7.0,5.0,6.0,7.0,6.0,,,,,
1395,1,0,7.0,5.0,6.0,7.0,6.0,,,,,
1396,1,1,7.0,5.0,6.0,7.0,6.0,,,,,
1397,1,0,7.0,5.0,6.0,7.0,6.0,,,,,
1398,1,0,7.0,5.0,6.0,7.0,6.0,,,,,
1399,1,0,7.0,5.0,6.0,7.0,6.0,,,,,
1402,1,1,7.0,5.0,6.0,7.0,6.0,,,,,
1403,1,1,7.0,5.0,6.0,7.0,6.0,,,,,
1404,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1405,1,1,8.0,8.0,8.0,8.0,8.0,,,,,
1409,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1413,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1414,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1415,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1416,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1417,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1420,1,1,8.0,8.0,8.0,8.0,8.0,,,,,
1421,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1422,1,0,10.0,10.0,10.0,10.0,8.0,,,,,
1423,1,1,10.0,10.0,10.0,10.0,8.0,,,,,
1427,1,1,10.0,10.0,10.0,10.0,8.0,,,,,
1431,1,0,10.0,10.0,10.0,10.0,8.0,,,,,
1432,1,0,10.0,10.0,10.0,10.0,8.0,,,,,
1433,1,1,10.0,10.0,10.0,10.0,8.0,,,,,
1434,1,0,10.0,10.0,10.0,10.0,8.0,,,,,
1435,1,1,10.0,10.0,10.0,10.0,8.0,,,,,
1438,1,1,10.0,10.0,10.0,10.0,8.0,,,,,
1439,1,0,10.0,10.0,10.0,10.0,8.0,,,,,
1446,1,0,7.0,8.0,9.0,8.0,6.0,,,,,
1455,1,0,7.0,8.0,9.0,8.0,6.0,,,,,
1461,1,0,8.0,8.0,9.0,8.0,9.0,,,,,
1462,1,0,8.0,8.0,9.0,8.0,9.0,,,,,
1472,1,0,8.0,8.0,9.0,8.0,9.0,,,,,
1476,1,0,8.0,5.0,10.0,7.0,9.0,,,,,
1477,1,0,8.0,5.0,10.0,7.0,9.0,,,,,
1481,1,0,8.0,5.0,10.0,7.0,9.0,,,,,
1485,1,0,8.0,5.0,10.0,7.0,9.0,,,,,
1486,1,0,8.0,5.0,10.0,7.0,9.0,,,,,
1487,1,0,8.0,5.0,10.0,7.0,9.0,,,,,
1488,1,0,8.0,5.0,10.0,7.0,9.0,,,,,
1489,1,0,8.0,5.0,10.0,7.0,9.0,,,,,
1492,1,0,8.0,5.0,10.0,7.0,9.0,,,,,
1493,1,0,8.0,5.0,10.0,7.0,9.0,,,,,
1494,1,0,8.0,8.0,9.0,8.0,9.0,,,,,
1495,1,0,8.0,8.0,9.0,8.0,9.0,,,,,
1499,1,0,8.0,8.0,9.0,8.0,9.0,,,,,
1503,1,0,8.0,8.0,9.0,8.0,9.0,,,,,
1504,1,0,8.0,8.0,9.0,8.0,9.0,,,,,
1505,1,0,8.0,8.0,9.0,8.0,9.0,,,,,
1506,1,0,8.0,8.0,9.0,8.0,9.0,,,,,
1507,1,0,8.0,8.0,9.0,8.0,9.0,,,,,
1510,1,0,8.0,8.0,9.0,8.0,9.0,,,,,
1511,1,0,8.0,8.0,9.0,8.0,9.0,,,,,
1512,1,0,9.0,8.0,9.0,7.0,9.0,,,,,
1513,1,0,9.0,8.0,9.0,7.0,9.0,,,,,
1517,1,1,9.0,8.0,9.0,7.0,9.0,,,,,
1521,1,0,9.0,8.0,9.0,7.0,9.0,,,,,
1522,1,1,9.0,8.0,9.0,7.0,9.0,,,,,
1523,1,0,9.0,8.0,9.0,7.0,9.0,,,,,
1524,1,0,9.0,8.0,9.0,7.0,9.0,,,,,
1525,1,1,9.0,8.0,9.0,7.0,9.0,,,,,
1528,1,0,9.0,8.0,9.0,7.0,9.0,,,,,
1529,1,1,9.0,8.0,9.0,7.0,9.0,,,,,
1550,1,1,4.0,7.0,9.0,3.0,2.0,,,,,
1555,1,0,4.0,7.0,9.0,3.0,2.0,,,,,
1556,1,0,4.0,7.0,9.0,3.0,2.0,,,,,
1566,1,1,7.0,9.0,9.0,9.0,6.0,,,,,
1567,1,1,7.0,9.0,9.0,9.0,6.0,,,,,
1571,1,0,7.0,9.0,9.0,9.0,6.0,,,,,
1575,1,1,7.0,9.0,9.0,9.0,6.0,,,,,
1576,1,1,7.0,9.0,9.0,9.0,6.0,,,,,
1577,1,1,7.0,9.0,9.0,9.0,6.0,,,,,
1578,1,0,7.0,9.0,9.0,9.0,6.0,,,,,
1579,1,0,7.0,9.0,9.0,9.0,6.0,,,,,
1582,1,1,7.0,9.0,9.0,9.0,6.0,,,,,
1583,1,0,7.0,9.0,9.0,9.0,6.0,,,,,
1584,1,0,4.0,8.0,7.0,3.0,2.0,,,,,
1585,1,0,4.0,8.0,7.0,3.0,2.0,,,,,
1589,1,1,4.0,8.0,7.0,3.0,2.0,,,,,
1593,1,0,4.0,8.0,7.0,3.0,2.0,,,,,
1594,1,1,4.0,8.0,7.0,3.0,2.0,,,,,
1595,1,0,4.0,8.0,7.0,3.0,2.0,,,,,
1596,1,0,4.0,8.0,7.0,3.0,2.0,,,,,
1597,1,0,4.0,8.0,7.0,3.0,2.0,,,,,
1600,1,0,4.0,8.0,7.0,3.0,2.0,,,,,
1601,1,0,4.0,8.0,7.0,3.0,2.0,,,,,
1605,1,0,6.0,9.0,9.0,8.0,8.0,,,,,
1606,1,1,6.0,9.0,9.0,8.0,8.0,,,,,
1616,1,1,6.0,9.0,9.0,8.0,8.0,,,,,
1620,1,1,7.0,9.0,8.0,8.0,7.0,,,,,
1621,1,0,7.0,9.0,8.0,8.0,7.0,,,,,
1625,1,0,7.0,9.0,8.0,8.0,7.0,,,,,
1629,1,0,7.0,9.0,8.0,8.0,7.0,,,,,
1630,1,1,7.0,9.0,8.0,8.0,7.0,,,,,
1631,1,0,7.0,9.0,8.0,8.0,7.0,,,,,
1632,1,0,7.0,9.0,8.0,8.0,7.0,,,,,
1633,1,0,7.0,9.0,8.0,8.0,7.0,,,,,
1636,1,1,7.0,9.0,8.0,8.0,7.0,,,,,
1637,1,0,7.0,9.0,8.0,8.0,7.0,,,,,
1641,1,0,5.0,8.0,8.0,5.0,5.0,,,,,
1642,1,0,5.0,8.0,8.0,5.0,5.0,,,,,
1652,1,0,5.0,8.0,8.0,5.0,5.0,,,,,
1656,0,1,9.0,10.0,9.0,9.0,9.0,,,,,
1669,0,1,8.0,10.0,8.0,10.0,9.0,,,,,
1670,0,1,8.0,10.0,8.0,10.0,9.0,,,,,
1671,0,0,8.0,10.0,8.0,10.0,9.0,,,,,
1672,0,1,8.0,10.0,8.0,10.0,9.0,,,,,
1673,0,0,8.0,10.0,8.0,10.0,9.0,,,,,
1689,0,1,8.0,7.0,9.0,8.0,8.0,,,,,
1690,0,0,8.0,7.0,9.0,8.0,8.0,,,,,
1691,0,1,8.0,7.0,9.0,8.0,8.0,,,,,
1692,0,1,8.0,7.0,9.0,8.0,8.0,,,,,
1693,0,0,8.0,7.0,9.0,8.0,8.0,,,,,
1699,0,1,8.0,9.0,9.0,8.0,9.0,,,,,
1700,0,0,8.0,9.0,9.0,8.0,9.0,,,,,
1701,0,1,8.0,9.0,9.0,8.0,9.0,,,,,
1702,0,0,8.0,9.0,9.0,8.0,9.0,,,,,
1703,0,1,8.0,9.0,9.0,8.0,9.0,,,,,
1709,0,1,8.0,7.0,8.0,8.0,8.0,,,,,
1710,0,0,8.0,7.0,8.0,8.0,8.0,,,,,
1711,0,0,8.0,7.0,8.0,8.0,8.0,,,,,
1712,0,0,8.0,7.0,8.0,8.0,8.0,,,,,
1713,0,0,8.0,7.0,8.0,8.0,8.0,,,,,
1739,0,0,2.0,9.0,7.0,9.0,9.0,,,,,
1740,0,0,2.0,9.0,7.0,9.0,9.0,,,,,
1741,0,0,2.0,9.0,7.0,9.0,9.0,,,,,
1742,0,0,2.0,9.0,7.0,9.0,9.0,,,,,
1743,0,0,2.0,9.0,7.0,9.0,9.0,,,,,
1746,1,1,7.0,10.0,8.0,8.0,8.0,,,,,
1777,1,1,9.0,6.0,9.0,10.0,10.0,,,,,
1779,1,1,9.0,6.0,9.0,10.0,10.0,,,,,
1780,1,1,9.0,6.0,9.0,10.0,10.0,,,,,
1781,1,1,9.0,6.0,9.0,10.0,10.0,,,,,
1784,1,0,9.0,6.0,9.0,10.0,10.0,,,,,
1787,1,1,9.0,10.0,9.0,9.0,9.0,,,,,
1789,1,0,9.0,10.0,9.0,9.0,9.0,,,,,
1790,1,0,9.0,10.0,9.0,9.0,9.0,,,,,
1791,1,0,9.0,10.0,9.0,9.0,9.0,,,,,
1794,1,0,9.0,10.0,9.0,9.0,9.0,,,,,
1797,1,0,8.0,8.0,9.0,9.0,8.0,,,,,
1799,1,1,8.0,8.0,9.0,9.0,8.0,,,,,
1800,1,1,8.0,8.0,9.0,9.0,8.0,,,,,
1801,1,0,8.0,8.0,9.0,9.0,8.0,,,,,
1804,1,0,8.0,8.0,9.0,9.0,8.0,,,,,
1807,1,1,8.0,7.0,8.0,7.0,7.0,,,,,
1809,1,1,8.0,7.0,8.0,7.0,7.0,,,,,
1810,1,0,8.0,7.0,8.0,7.0,7.0,,,,,
1811,1,0,8.0,7.0,8.0,7.0,7.0,,,,,
1814,1,0,8.0,7.0,8.0,7.0,7.0,,,,,
1817,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1819,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1820,1,1,8.0,8.0,8.0,8.0,8.0,,,,,
1821,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1824,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1847,0,0,8.0,10.0,9.0,10.0,10.0,,,,,
1849,0,1,8.0,10.0,9.0,10.0,10.0,,,,,
1851,0,0,6.0,8.0,8.0,7.0,7.0,,,,,
1853,0,0,6.0,8.0,8.0,7.0,7.0,,,,,
1857,0,0,7.0,8.0,8.0,8.0,8.0,,,,,
1859,0,0,7.0,8.0,8.0,8.0,8.0,,,,,
1862,0,0,9.0,10.0,9.0,7.0,6.0,,,,,
1864,0,1,9.0,10.0,9.0,7.0,6.0,,,,,
1872,1,0,7.0,9.0,9.0,8.0,8.0,,,,,
1876,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1878,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1879,1,0,8.0,8.0,8.0,8.0,8.0,,,,,
1882,1,0,8.0,8.0,9.0,9.0,6.0,,,,,
1886,1,1,7.0,7.0,8.0,9.0,8.0,,,,,
1888,1,0,7.0,7.0,8.0,9.0,8.0,,,,,
1889,1,1,7.0,7.0,8.0,9.0,8.0,,,,,
1896,0,0,9.0,9.0,10.0,9.0,7.0,,,,,
1897,0,1,9.0,9.0,10.0,9.0,7.0,,,,,
1899,0,0,9.0,9.0,10.0,9.0,7.0,,,,,
1901,0,0,9.0,9.0,10.0,9.0,7.0,,,,,
1902,0,0,9.0,9.0,10.0,9.0,7.0,,,,,
1903,0,0,9.0,9.0,10.0,9.0,7.0,,,,,
1905,0,1,9.0,9.0,10.0,9.0,7.0,,,,,
1907,0,1,9.0,9.0,10.0,9.0,7.0,,,,,
1909,0,1,9.0,9.0,10.0,9.0,7.0,,,,,
1910,0,1,9.0,9.0,10.0,9.0,7.0,,,,,
1911,0,1,9.0,9.0,10.0,9.0,7.0,,,,,
1912,0,0,7.0,10.0,8.0,7.0,7.0,,,,,
1913,0,0,7.0,10.0,8.0,7.0,7.0,,,,,
1915,0,0,7.0,10.0,8.0,7.0,7.0,,,,,
1917,0,0,7.0,10.0,8.0,7.0,7.0,,,,,
1918,0,0,7.0,10.0,8.0,7.0,7.0,,,,,
1919,0,0,7.0,10.0,8.0,7.0,7.0,,,,,
1921,0,0,7.0,10.0,8.0,7.0,7.0,,,,,
1923,0,0,7.0,10.0,8.0,7.0,7.0,,,,,
1925,0,0,7.0,10.0,8.0,7.0,7.0,,,,,
1926,0,0,7.0,10.0,8.0,7.0,7.0,,,,,
1927,0,0,7.0,10.0,8.0,7.0,7.0,,,,,
1928,0,0,7.0,8.0,9.0,8.0,9.0,,,,,
1929,0,0,7.0,8.0,9.0,8.0,9.0,,,,,
1931,0,0,7.0,8.0,9.0,8.0,9.0,,,,,
1933,0,0,7.0,8.0,9.0,8.0,9.0,,,,,
1934,0,0,7.0,8.0,9.0,8.0,9.0,,,,,
1935,0,0,7.0,8.0,9.0,8.0,9.0,,,,,
1937,0,0,7.0,8.0,9.0,8.0,9.0,,,,,
1939,0,0,7.0,8.0,9.0,8.0,9.0,,,,,
1941,0,0,7.0,8.0,9.0,8.0,9.0,,,,,
1942,0,0,7.0,8.0,9.0,8.0,9.0,,,,,
1943,0,0,7.0,8.0,9.0,8.0,9.0,,,,,
1944,0,0,5.0,5.0,9.0,7.0,7.0,,,,,
1945,0,0,5.0,5.0,9.0,7.0,7.0,,,,,
1947,0,0,5.0,5.0,9.0,7.0,7.0,,,,,
1949,0,0,5.0,5.0,9.0,7.0,7.0,,,,,
1950,0,0,5.0,5.0,9.0,7.0,7.0,,,,,
1951,0,0,5.0,5.0,9.0,7.0,7.0,,,,,
1953,0,0,5.0,5.0,9.0,7.0,7.0,,,,,
1955,0,0,5.0,5.0,9.0,7.0,7.0,,,,,
1957,0,0,5.0,5.0,9.0,7.0,7.0,,,,,
1958,0,0,5.0,5.0,9.0,7.0,7.0,,,,,
1959,0,0,5.0,5.0,9.0,7.0,7.0,,,,,
1960,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
1961,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
1963,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
1965,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
1966,0,1,8.0,8.0,8.0,8.0,8.0,,,,,
1967,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
1969,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
1971,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
1973,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
1974,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
1975,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
1980,0,0,8.0,7.0,9.0,8.0,7.0,,,,,
1986,0,0,8.0,7.0,9.0,8.0,7.0,,,,,
1988,0,0,8.0,7.0,9.0,8.0,7.0,,,,,
1996,0,0,8.0,9.0,9.0,9.0,8.0,,,,,
2002,0,0,8.0,9.0,9.0,9.0,8.0,,,,,
2004,0,0,8.0,9.0,9.0,9.0,8.0,,,,,
2008,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
2009,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
2011,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
2013,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
2014,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
2015,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
2017,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
2019,0,0,8.0,8.0,8.0,8.0,8.0,,,,,
2021,0,1,8.0,8.0,8.0,8.0,8.0,,,,,
2022,0,1,8.0,8.0,8.0,8.0,8.0,,,,,
2023,0,1,8.0,8.0,8.0,8.0,8.0,,,,,
2024,0,0,7.0,9.0,9.0,8.0,8.0,,,,,
2025,0,0,7.0,9.0,9.0,8.0,8.0,,,,,
2027,0,0,7.0,9.0,9.0,8.0,8.0,,,,,
2029,0,0,7.0,9.0,9.0,8.0,8.0,,,,,
2030,0,0,7.0,9.0,9.0,8.0,8.0,,,,,
2031,0,1,7.0,9.0,9.0,8.0,8.0,,,,,
2033,0,1,7.0,9.0,9.0,8.0,8.0,,,,,
2035,0,0,7.0,9.0,9.0,8.0,8.0,,,,,
2037,0,0,7.0,9.0,9.0,8.0,8.0,,,,,
2038,0,0,7.0,9.0,9.0,8.0,8.0,,,,,
2039,0,0,7.0,9.0,9.0,8.0,8.0,,,,,
2040,0,0,9.0,10.0,10.0,10.0,8.0,,,,,
2041,0,0,9.0,10.0,10.0,10.0,8.0,,,,,
2043,0,0,9.0,10.0,10.0,10.0,8.0,,,,,
2045,0,0,9.0,10.0,10.0,10.0,8.0,,,,,
2046,0,0,9.0,10.0,10.0,10.0,8.0,,,,,
2047,0,0,9.0,10.0,10.0,10.0,8.0,,,,,
2049,0,0,9.0,10.0,10.0,10.0,8.0,,,,,
2051,0,0,9.0,10.0,10.0,10.0,8.0,,,,,
2053,0,0,9.0,10.0,10.0,10.0,8.0,,,,,
2054,0,0,9.0,10.0,10.0,10.0,8.0,,,,,
2055,0,1,9.0,10.0,10.0,10.0,8.0,,,,,
2060,0,0,7.0,9.0,10.0,8.0,8.0,,,,,
2066,0,0,7.0,9.0,10.0,8.0,8.0,,,,,
2068,0,0,7.0,9.0,10.0,8.0,8.0,,,,,
2076,0,0,7.0,7.0,7.0,6.0,6.0,,,,,
2082,0,0,7.0,7.0,7.0,6.0,6.0,,,,,
2084,0,0,7.0,7.0,7.0,6.0,6.0,,,,,
2088,0,0,8.0,9.0,9.0,9.0,9.0,,,,,
2089,0,0,8.0,9.0,9.0,9.0,9.0,,,,,
2091,0,1,8.0,9.0,9.0,9.0,9.0,,,,,
2093,0,1,8.0,9.0,9.0,9.0,9.0,,,,,
2094,0,0,8.0,9.0,9.0,9.0,9.0,,,,,
2095,0,0,8.0,9.0,9.0,9.0,9.0,,,,,
2097,0,0,8.0,9.0,9.0,9.0,9.0,,,,,
2099,0,1,8.0,9.0,9.0,9.0,9.0,,,,,
2101,0,1,8.0,9.0,9.0,9.0,9.0,,,,,
2102,0,1,8.0,9.0,9.0,9.0,9.0,,,,,
2103,0,1,8.0,9.0,9.0,9.0,9.0,,,,,
2104,0,0,7.0,10.0,8.0,6.0,9.0,,,,,
2105,0,0,7.0,10.0,8.0,6.0,9.0,,,,,
2107,0,1,7.0,10.0,8.0,6.0,9.0,,,,,
2109,0,0,7.0,10.0,8.0,6.0,9.0,,,,,
2110,0,0,7.0,10.0,8.0,6.0,9.0,,,,,
2111,0,0,7.0,10.0,8.0,6.0,9.0,,,,,
2113,0,0,7.0,10.0,8.0,6.0,9.0,,,,,
2115,0,0,7.0,10.0,8.0,6.0,9.0,,,,,
2117,0,0,7.0,10.0,8.0,6.0,9.0,,,,,
2118,0,0,7.0,10.0,8.0,6.0,9.0,,,,,
2119,0,0,7.0,10.0,8.0,6.0,9.0,,,,,
2122,0,1,8.0,10.0,9.0,10.0,10.0,,,,,
2140,0,0,7.0,8.0,8.0,9.0,9.0,,,,,
2146,0,0,7.0,8.0,8.0,9.0,9.0,,,,,
2148,0,0,7.0,8.0,8.0,9.0,9.0,,,,,
2152,1,0,7.0,9.0,9.0,7.0,6.0,,,,,
2153,1,0,7.0,9.0,9.0,7.0,6.0,,,,,
2154,1,0,7.0,9.0,9.0,7.0,6.0,,,,,
2155,1,0,7.0,9.0,9.0,7.0,6.0,,,,,
2156,1,0,7.0,9.0,9.0,7.0,6.0,,,,,
2159,1,0,7.0,9.0,9.0,7.0,6.0,,,,,
2160,1,0,7.0,9.0,9.0,7.0,6.0,,,,,
2161,1,0,7.0,9.0,9.0,7.0,6.0,,,,,
2164,1,0,7.0,9.0,9.0,7.0,6.0,,,,,
2165,1,0,7.0,9.0,9.0,7.0,6.0,,,,,
2168,1,1,5.0,9.0,9.0,8.0,7.0,,,,,
2169,1,0,5.0,9.0,9.0,8.0,7.0,,,,,
2170,1,0,5.0,9.0,9.0,8.0,7.0,,,,,
2171,1,0,5.0,9.0,9.0,8.0,7.0,,,,,
2172,1,0,5.0,9.0,9.0,8.0,7.0,,,,,
2175,1,0,5.0,9.0,9.0,8.0,7.0,,,,,
2176,1,0,5.0,9.0,9.0,8.0,7.0,,,,,
2177,1,0,5.0,9.0,9.0,8.0,7.0,,,,,
2180,1,0,5.0,9.0,9.0,8.0,7.0,,,,,
2181,1,0,5.0,9.0,9.0,8.0,7.0,,,,,
2198,1,1,8.0,8.0,8.0,9.0,9.0,,,,,
2200,1,0,8.0,7.0,9.0,9.0,7.0,,,,,
2201,1,0,8.0,7.0,9.0,9.0,7.0,,,,,
2202,1,0,8.0,7.0,9.0,9.0,7.0,,,,,
2203,1,0,8.0,7.0,9.0,9.0,7.0,,,,,
2204,1,0,8.0,7.0,9.0,9.0,7.0,,,,,
2207,1,0,8.0,7.0,9.0,9.0,7.0,,,,,
2208,1,0,8.0,7.0,9.0,9.0,7.0,,,,,
2209,1,0,8.0,7.0,9.0,9.0,7.0,,,,,
2212,1,1,8.0,7.0,9.0,9.0,7.0,,,,,
2213,1,1,8.0,7.0,9.0,9.0,7.0,,,,,
2221,1,0,7.0,8.0,9.0,7.0,8.0,,,,,
2222,1,0,7.0,8.0,9.0,7.0,8.0,,,,,
2226,1,0,7.0,8.0,9.0,7.0,8.0,,,,,
2227,1,0,7.0,8.0,9.0,7.0,8.0,,,,,
2231,1,0,7.0,8.0,9.0,7.0,8.0,,,,,
2232,1,0,7.0,8.0,9.0,8.0,7.0,,,,,
2233,1,0,7.0,8.0,9.0,8.0,7.0,,,,,
2234,1,0,7.0,8.0,9.0,8.0,7.0,,,,,
2235,1,0,7.0,8.0,9.0,8.0,7.0,,,,,
2236,1,0,7.0,8.0,9.0,8.0,7.0,,,,,
2239,1,0,7.0,8.0,9.0,8.0,7.0,,,,,
2240,1,0,7.0,8.0,9.0,8.0,7.0,,,,,
2241,1,0,7.0,8.0,9.0,8.0,7.0,,,,,
2244,1,1,7.0,8.0,9.0,8.0,7.0,,,,,
2245,1,0,7.0,8.0,9.0,8.0,7.0,,,,,
2248,1,0,7.0,9.0,9.0,6.0,4.0,,,,,
2249,1,0,7.0,9.0,9.0,6.0,4.0,,,,,
