,iid,gender,match,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,tmp_att,tmp_sin,tmp_int,tmp_fun,tmp_amb,tmp_sha,tmp2_attr,tmp2_sinc,tmp2_intel,tmp2_fun,tmp2_amb,tmp2_shar,tmp2_like,condtn,round,int_corr,age_o,age,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1
137,158,1.0,0.0,7.0,9.0,9.0,7.0,6.0,19.05,19.05,19.05,19.05,9.52,14.289999999999996,4.6,6.4,7.6,4.6,7.0,5.0,4.4,2.0,16.0,0.1689999999999999,23.0,28.1,13.369,17.916999999999998,19.268,18.199,16.252000000000002,14.993,8.1,7.0,7.4,7.9,7.4,6.9,21.565,14.049,16.469,18.609,13.73,15.585,7.0,8.0,8.0,8.0,8.0
138,159,1.0,10.0,5.0,9.0,9.0,8.0,7.0,15.91,20.45,20.45,20.45,11.36,11.36,4.4,7.4,8.5,6.3,7.3,5.3,5.8,2.0,16.0,0.419,28.0,28.1,13.369,17.916999999999998,19.268,18.199,16.252000000000002,14.993,8.1,7.0,7.4,7.9,7.4,6.9,21.565,14.049,16.469,18.609,13.73,15.585,7.0,8.0,8.0,8.0,8.0
139,160,1.0,100.0,8.0,8.0,8.0,9.0,9.0,16.0,18.0,18.0,18.0,14.0,16.0,7.0,10.0,10.0,9.0,10.0,10.0,8.0,2.0,16.0,-0.03,29.0,30.0,14.0,18.0,16.0,18.0,18.0,16.0,10.0,8.0,8.0,10.0,8.0,9.0,18.87,15.09,15.09,18.87,15.09,16.98,7.0,8.0,8.0,8.0,8.0
140,161,1.0,20.0,8.0,7.0,9.0,9.0,7.0,16.67,18.75,18.75,18.75,18.75,8.33,8.2,7.4,8.2,8.4,7.4,6.8,7.9,2.0,16.0,-0.0089999999999999,22.0,28.1,13.369,17.916999999999998,19.268,18.199,16.252000000000002,14.993,8.1,7.0,7.4,7.9,7.4,6.9,21.565,14.049,16.469,18.609,13.73,15.585,7.0,8.0,8.0,8.0,8.0
141,162,1.0,0.0,7.0,8.0,9.0,7.0,8.0,15.220000000000002,15.220000000000002,19.57,17.39,13.039999999999996,19.57,4.8,6.0,7.2,5.0,6.6,5.4,5.2,2.0,16.0,0.27,27.0,27.2,14.228,18.164,18.564,16.774,18.15,14.122,8.0,8.6,8.0,8.0,7.8,7.2,23.984,15.322,13.791999999999998,20.824,11.758,14.322,7.0,8.0,8.0,8.0,8.0
142,163,1.0,10.0,7.0,8.0,9.0,8.0,7.0,12.0,20.0,20.0,20.0,16.0,12.0,7.0,7.4,7.5,7.4,7.0,6.5,7.15,2.0,16.0,0.375,26.0,28.1,13.369,17.916999999999998,19.268,18.199,16.252000000000002,14.993,8.1,7.0,7.4,7.9,7.4,6.9,21.565,14.049,16.469,18.609,13.73,15.585,7.0,8.0,8.0,8.0,8.0
143,164,1.0,10.0,7.0,9.0,9.0,6.0,4.0,20.51,23.08,20.51,17.95,2.56,15.38,7.3,8.2,8.4,7.3,6.6,6.7,7.4,2.0,16.0,0.318,27.0,28.1,13.369,17.916999999999998,19.268,18.199,16.252000000000002,14.993,8.1,7.0,7.4,7.9,7.4,6.9,21.565,14.049,16.469,18.609,13.73,15.585,7.0,8.0,8.0,8.0,8.0
144,165,1.0,10.0,8.0,6.0,9.0,7.0,2.0,16.67,12.5,20.83,18.75,12.5,18.75,7.8,7.4,6.7,6.1,5.6,5.5,5.7,2.0,16.0,0.364,30.0,28.1,13.369,17.916999999999998,19.268,18.199,16.252000000000002,14.993,8.1,7.0,7.4,7.9,7.4,6.9,21.565,14.049,16.469,18.609,13.73,15.585,7.0,8.0,8.0,8.0,8.0
145,167,1.0,20.0,6.0,7.0,7.0,7.0,5.0,18.6,13.95,18.6,16.28,16.28,16.28,6.4,6.6,7.5,7.0,6.4,6.5,6.0,2.0,16.0,0.1399999999999999,23.0,28.1,13.369,17.916999999999998,19.268,18.199,16.252000000000002,14.993,8.1,7.0,7.4,7.9,7.4,6.9,21.565,14.049,16.469,18.609,13.73,15.585,7.0,8.0,8.0,8.0,8.0
146,168,1.0,0.0,5.0,5.0,5.0,5.0,5.0,11.11,17.78,17.78,17.78,17.78,17.78,3.4,7.4,7.4,5.4,5.2,4.6,4.6,2.0,16.0,0.2799999999999999,23.0,27.2,14.228,18.164,18.564,16.774,18.15,14.122,8.0,8.6,8.0,8.0,7.8,7.2,23.984,15.322,13.791999999999998,20.824,11.758,14.322,7.0,8.0,8.0,8.0,8.0
147,169,1.0,20.0,7.0,9.0,8.0,7.0,7.0,17.78,20.0,17.78,15.56,15.56,13.330000000000002,8.3,8.2,8.5,8.0,7.7,7.2,7.8,2.0,16.0,0.218,28.0,28.1,13.369,17.916999999999998,19.268,18.199,16.252000000000002,14.993,8.1,7.0,7.4,7.9,7.4,6.9,21.565,14.049,16.469,18.609,13.73,15.585,7.0,8.0,8.0,8.0,8.0
148,170,1.0,0.0,7.0,8.0,9.0,6.0,8.0,16.28,20.93,18.6,18.6,13.95,11.63,3.8,6.4,7.4,4.6,6.8,3.6,4.4,2.0,16.0,0.408,28.0,27.2,14.228,18.164,18.564,16.774,18.15,14.122,8.0,8.6,8.0,8.0,7.8,7.2,23.984,15.322,13.791999999999998,20.824,11.758,14.322,7.0,8.0,8.0,8.0,8.0
149,171,1.0,30.0,10.0,10.0,10.0,10.0,10.0,19.57,10.87,19.57,19.57,19.57,10.87,6.3,8.1,8.2,6.2,7.5,5.8,6.9,2.0,16.0,0.372,29.0,28.1,13.369,17.916999999999998,19.268,18.199,16.252000000000002,14.993,8.1,7.0,7.4,7.9,7.4,6.9,21.565,14.049,16.469,18.609,13.73,15.585,7.0,8.0,8.0,8.0,8.0
150,172,1.0,30.0,5.0,6.0,8.0,9.0,9.0,17.78,17.78,22.22,20.0,15.56,6.67,7.2,8.0,8.1,7.2,7.7,6.9,7.4,2.0,16.0,0.044,27.0,28.1,13.369,17.916999999999998,19.268,18.199,16.252000000000002,14.993,8.1,7.0,7.4,7.9,7.4,6.9,21.565,14.049,16.469,18.609,13.73,15.585,7.0,8.0,8.0,8.0,8.0
151,173,1.0,40.0,7.0,9.0,9.0,9.0,9.0,18.37,18.37,20.41,20.41,16.33,6.12,6.4,7.4,8.4,7.9,7.6,7.2,7.2,2.0,16.0,0.081,22.0,28.1,13.369,17.916999999999998,19.268,18.199,16.252000000000002,14.993,8.1,7.0,7.4,7.9,7.4,6.9,21.565,14.049,16.469,18.609,13.73,15.585,7.0,8.0,8.0,8.0,8.0
0,174,0.0,0.0,9.0,10.0,8.0,8.0,6.0,9.52,23.81,16.67,16.67,16.67,16.67,4.333333333333333,7.0,6.666666666666667,6.0,5.333333333333333,6.666666666666667,6.333333333333333,1.0,10.0,0.3999999999999999,29.0,24.666666666666668,19.116666666666667,16.936666666666667,20.82,16.643333333333334,13.87,12.61,8.333333333333334,6.333333333333333,7.0,8.333333333333334,7.0,5.0,19.49,14.833333333333334,16.253333333333334,20.973333333333333,17.463333333333335,10.99,7.0,8.0,8.0,8.0,8.0
1,175,0.0,0.0,7.0,10.0,8.0,8.0,9.0,12.24,20.41,16.33,14.29,20.41,16.33,6.0,6.0,5.0,5.0,4.0,5.0,6.0,1.0,10.0,0.1,23.0,27.0,16.98,16.98,16.98,16.98,16.98,15.09,9.0,7.0,7.0,8.0,7.0,7.0,16.98,16.98,16.98,16.98,16.98,15.09,7.0,8.0,8.0,8.0,8.0
2,176,0.0,33.33333333333333,6.0,9.0,8.0,7.0,6.0,13.04,21.74,19.57,17.39,15.22,13.04,5.666666666666667,8.0,8.0,4.333333333333333,7.666666666666667,6.666666666666667,4.666666666666667,1.0,10.0,0.3533333333333333,28.0,24.666666666666668,19.116666666666667,16.936666666666667,20.82,16.643333333333334,13.87,12.61,8.333333333333334,6.333333333333333,7.0,8.333333333333334,7.0,5.0,19.49,14.833333333333334,16.253333333333334,20.973333333333333,17.463333333333335,10.99,7.0,8.0,8.0,8.0,8.0
3,177,0.0,0.0,9.0,9.0,9.0,8.0,9.0,15.089999999999998,16.98,16.98,16.98,18.87,15.089999999999998,5.166666666666667,7.166666666666667,6.666666666666667,7.166666666666667,7.0,6.166666666666667,5.166666666666667,1.0,10.0,0.0433333333333333,22.0,26.33333333333333,17.465,17.463333333333335,18.905,17.463333333333335,16.101666666666667,12.605,8.833333333333334,6.833333333333333,6.666666666666667,7.833333333333333,5.5,6.666666666666667,13.651666666666666,17.905,17.023333333333333,18.275,17.988333333333333,15.161666666666669,7.0,8.0,8.0,8.0,8.0
4,178,0.0,33.33333333333333,9.0,9.0,8.0,7.0,7.0,15.22,17.39,17.39,17.39,15.22,17.39,3.6666666666666665,7.333333333333333,7.333333333333333,4.666666666666667,8.333333333333334,7.666666666666667,6.0,1.0,10.0,0.3933333333333333,35.0,24.666666666666668,19.116666666666667,16.936666666666667,20.82,16.643333333333334,13.87,12.61,8.333333333333334,6.333333333333333,7.0,8.333333333333334,7.0,5.0,19.49,14.833333333333334,16.253333333333334,20.973333333333333,17.463333333333335,10.99,7.0,8.0,8.0,8.0,8.0
5,180,0.0,0.0,9.0,9.0,9.0,10.0,9.0,15.38,17.31,17.31,19.23,13.46,17.31,7.666666666666667,8.333333333333334,7.666666666666667,7.0,7.333333333333333,6.333333333333333,7.666666666666667,1.0,10.0,0.2166666666666666,24.0,24.666666666666668,19.116666666666667,16.936666666666667,20.82,16.643333333333334,13.87,12.61,8.333333333333334,6.333333333333333,7.0,8.333333333333334,7.0,5.0,19.49,14.833333333333334,16.253333333333334,20.973333333333333,17.463333333333335,10.99,7.0,8.0,8.0,8.0,8.0
6,183,0.0,16.66666666666666,9.0,7.0,9.0,9.0,7.0,20.0,22.5,17.5,22.5,10.0,7.5,6.0,6.5,7.166666666666667,5.833333333333333,6.166666666666667,4.833333333333333,5.166666666666667,1.0,10.0,0.2416666666666666,24.0,26.33333333333333,17.465,17.463333333333335,18.905,17.463333333333335,16.101666666666667,12.605,8.833333333333334,6.833333333333333,6.666666666666667,7.833333333333333,5.5,6.666666666666667,13.651666666666666,17.905,17.023333333333333,18.275,17.988333333333333,15.161666666666669,7.0,8.0,8.0,8.0,8.0
7,184,1.0,50.0,6.0,10.0,9.0,7.0,5.0,16.67,16.67,16.67,16.67,16.67,16.67,6.5,8.0,8.0,6.0,6.0,7.0,6.5,1.0,10.0,0.175,34.0,23.0,17.545,19.74,17.240000000000002,19.74,14.435,11.295,8.0,8.0,7.0,7.0,6.5,6.0,24.34,18.025,14.08,20.59,14.145,8.815,7.0,8.0,8.0,8.0,8.0
8,185,1.0,0.0,10.0,10.0,8.0,7.0,8.0,16.98,15.09,16.98,16.98,18.87,15.09,5.5,5.25,5.5,5.0,5.5,4.75,4.75,1.0,10.0,0.3,25.0,29.0,13.29,20.0625,17.735,17.67,15.142500000000002,16.1025,8.25,7.5,6.75,8.0,5.5,7.25,19.2875,16.445,13.572500000000002,19.925,13.6275,17.137500000000003,7.0,8.0,8.0,8.0,8.0
9,186,1.0,50.0,4.0,8.0,7.0,4.0,6.0,19.44,19.44,22.22,16.67,11.11,11.11,5.75,6.75,6.75,5.5,5.75,6.0,6.5,1.0,10.0,0.425,24.0,29.0,13.29,20.0625,17.735,17.67,15.142500000000002,16.1025,8.25,7.5,6.75,8.0,5.5,7.25,19.2875,16.445,13.572500000000002,19.925,13.6275,17.137500000000003,7.0,8.0,8.0,8.0,8.0
10,187,1.0,0.0,8.0,9.0,10.0,7.0,7.0,16.98,16.98,18.87,16.98,13.21,16.98,5.0,6.0,6.5,5.5,6.5,5.0,5.0,1.0,10.0,0.005,26.0,23.0,17.545,19.74,17.240000000000002,19.74,14.435,11.295,8.0,8.0,7.0,7.0,6.5,6.0,24.34,18.025,14.08,20.59,14.145,8.815,7.0,8.0,8.0,8.0,8.0
11,188,1.0,0.0,7.0,5.0,10.0,7.0,10.0,15.56,11.11,22.22,15.56,20.0,15.56,3.5,6.5,6.5,5.0,5.5,4.0,4.0,1.0,10.0,0.09,21.0,23.0,17.545,19.74,17.240000000000002,19.74,14.435,11.295,8.0,8.0,7.0,7.0,6.5,6.0,24.34,18.025,14.08,20.59,14.145,8.815,7.0,8.0,8.0,8.0,8.0
12,189,1.0,0.0,8.0,8.0,8.0,8.0,9.0,16.98,16.98,16.98,16.98,16.98,15.09,4.0,7.0,7.0,6.0,6.0,7.0,7.0,1.0,10.0,0.1,27.0,23.0,12.24,20.41,16.33,14.29,20.41,16.33,10.0,5.0,6.0,7.0,8.0,6.0,22.22,11.11,13.33,20.0,17.78,15.56,7.0,8.0,8.0,8.0,8.0
13,190,1.0,0.0,7.0,7.0,7.0,7.0,7.0,15.56,20.0,20.0,20.0,13.33,11.11,6.5,7.0,7.0,8.5,8.5,6.0,8.0,1.0,10.0,0.105,25.0,23.0,17.545,19.74,17.240000000000002,19.74,14.435,11.295,8.0,8.0,7.0,7.0,6.5,6.0,24.34,18.025,14.08,20.59,14.145,8.815,7.0,8.0,8.0,8.0,8.0
14,191,1.0,0.0,7.0,7.0,7.0,6.0,8.0,20.45,20.45,20.45,18.18,18.18,2.27,7.0,7.0,7.0,6.5,7.5,7.0,7.0,1.0,10.0,0.285,28.0,23.0,17.545,19.74,17.240000000000002,19.74,14.435,11.295,8.0,8.0,7.0,7.0,6.5,6.0,24.34,18.025,14.08,20.59,14.145,8.815,7.0,8.0,8.0,8.0,8.0
15,192,1.0,0.0,7.0,10.0,9.0,9.0,10.0,19.57,19.57,15.22,17.39,15.22,13.04,7.5,7.5,8.0,8.0,8.0,7.5,7.5,1.0,10.0,0.195,24.0,23.0,17.545,19.74,17.240000000000002,19.74,14.435,11.295,8.0,8.0,7.0,7.0,6.5,6.0,24.34,18.025,14.08,20.59,14.145,8.815,7.0,8.0,8.0,8.0,8.0
16,193,1.0,0.0,7.0,9.0,10.0,5.0,7.0,20.93,16.28,23.26,16.28,11.63,11.63,6.75,7.0,7.25,7.0,6.75,6.0,7.0,1.0,10.0,0.2975,25.0,29.0,13.29,20.0625,17.735,17.67,15.142500000000002,16.1025,8.25,7.5,6.75,8.0,5.5,7.25,19.2875,16.445,13.572500000000002,19.925,13.6275,17.137500000000003,7.0,8.0,8.0,8.0,8.0
17,194,0.0,0.0,9.0,10.0,10.0,8.0,10.0,16.0,16.0,20.0,16.0,18.0,14.0,4.307692307692308,6.153846153846154,5.923076923076923,4.6923076923076925,5.153846153846154,4.461538461538462,4.6923076923076925,2.0,20.0,-4.270088556250602e-18,24.0,27.923076923076923,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384612,11.637692307692308,15.15,9.692307692307692,6.153846153846154,6.076923076923077,8.076923076923077,4.769230769230769,6.153846153846154,18.12,17.247692307692308,15.713846153846154,17.85153846153846,16.606923076923074,14.467692307692309,7.0,8.0,8.0,8.0,8.0
18,195,0.0,15.38461538461538,9.0,8.0,10.0,10.0,8.0,15.38,19.23,19.23,19.23,13.46,13.46,6.846153846153846,6.6923076923076925,7.461538461538462,6.769230769230769,5.769230769230769,5.461538461538462,6.384615384615385,2.0,20.0,0.0992307692307692,27.0,27.923076923076923,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384612,11.637692307692308,15.15,9.692307692307692,6.153846153846154,6.076923076923077,8.076923076923077,4.769230769230769,6.153846153846154,18.12,17.247692307692308,15.713846153846154,17.85153846153846,16.606923076923074,14.467692307692309,7.0,8.0,8.0,8.0,8.0
19,196,0.0,0.0,9.0,9.0,9.0,9.0,9.0,17.65,17.65,17.65,15.69,15.69,15.69,6.0,7.0,5.75,4.5,4.5,4.5,5.0,2.0,20.0,0.09,25.0,26.5,14.49,18.9625,19.67,16.61,15.045,15.2225,8.5,6.0,5.25,8.75,4.25,7.25,14.175,18.2825,17.6,18.7825,15.165,15.9975,7.0,8.0,8.0,8.0,8.0
20,197,0.0,0.0,7.0,8.0,9.0,9.0,7.0,14.0,18.0,20.0,18.0,16.0,14.0,8.0,8.0,7.0,8.0,9.0,10.0,9.0,2.0,20.0,0.1,24.0,25.0,16.67,16.67,16.67,16.67,14.81,18.52,9.0,8.0,8.0,9.0,9.0,10.0,15.38,15.38,15.38,17.31,17.31,19.23,7.0,8.0,8.0,8.0,8.0
21,198,0.0,0.0,7.0,9.0,9.0,7.0,7.0,15.38,19.23,17.31,19.23,9.62,19.23,4.5,7.25,6.5,5.0,7.0,4.25,4.5,2.0,20.0,0.0375,23.0,26.5,14.49,18.9625,19.67,16.61,15.045,15.2225,8.5,6.0,5.25,8.75,4.25,7.25,14.175,18.2825,17.6,18.7825,15.165,15.9975,7.0,8.0,8.0,8.0,8.0
22,199,0.0,23.07692307692307,9.0,7.0,9.0,7.0,9.0,17.5,17.5,20.0,12.5,20.0,12.5,7.384615384615385,5.846153846153846,6.6923076923076925,6.076923076923077,5.846153846153846,6.076923076923077,6.615384615384615,2.0,20.0,0.37,30.0,27.923076923076923,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384612,11.637692307692308,15.15,9.692307692307692,6.153846153846154,6.076923076923077,8.076923076923077,4.769230769230769,6.153846153846154,18.12,17.247692307692308,15.713846153846154,17.85153846153846,16.606923076923074,14.467692307692309,7.0,8.0,8.0,8.0,8.0
23,200,0.0,23.07692307692307,8.0,10.0,8.0,8.0,8.0,13.21,18.87,18.87,16.98,16.98,15.09,7.6923076923076925,6.923076923076923,6.923076923076923,6.769230769230769,7.076923076923077,5.846153846153846,6.923076923076923,2.0,20.0,0.4307692307692307,25.0,27.923076923076923,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384612,11.637692307692308,15.15,9.692307692307692,6.153846153846154,6.076923076923077,8.076923076923077,4.769230769230769,6.153846153846154,18.12,17.247692307692308,15.713846153846154,17.85153846153846,16.606923076923074,14.467692307692309,7.0,8.0,8.0,8.0,8.0
24,201,0.0,7.69230769230769,7.0,8.0,9.0,9.0,8.0,15.38,17.31,17.31,17.31,17.31,15.38,6.538461538461538,7.153846153846154,7.076923076923077,6.230769230769231,5.769230769230769,5.384615384615385,6.0,2.0,20.0,-0.1223076923076923,25.0,27.923076923076923,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384612,11.637692307692308,15.15,9.692307692307692,6.153846153846154,6.076923076923077,8.076923076923077,4.769230769230769,6.153846153846154,18.12,17.247692307692308,15.713846153846154,17.85153846153846,16.606923076923074,14.467692307692309,7.0,8.0,8.0,8.0,8.0
25,202,0.0,7.69230769230769,7.0,10.0,10.0,9.0,8.0,15.38,19.23,19.23,19.23,15.38,11.54,5.769230769230769,6.769230769230769,7.769230769230769,6.230769230769231,6.384615384615385,5.153846153846154,5.538461538461538,2.0,20.0,0.1923076923076923,22.0,27.923076923076923,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384612,11.637692307692308,15.15,9.692307692307692,6.153846153846154,6.076923076923077,8.076923076923077,4.769230769230769,6.153846153846154,18.12,17.247692307692308,15.713846153846154,17.85153846153846,16.606923076923074,14.467692307692309,7.0,8.0,8.0,8.0,8.0
26,203,0.0,0.0,9.0,8.0,10.0,9.0,7.0,16.0,20.0,18.0,20.0,18.0,8.0,6.923076923076923,7.384615384615385,8.076923076923077,6.615384615384615,6.153846153846154,5.538461538461538,6.615384615384615,2.0,20.0,0.0707692307692307,22.0,27.923076923076923,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384612,11.637692307692308,15.15,9.692307692307692,6.153846153846154,6.076923076923077,8.076923076923077,4.769230769230769,6.153846153846154,18.12,17.247692307692308,15.713846153846154,17.85153846153846,16.606923076923074,14.467692307692309,7.0,8.0,8.0,8.0,8.0
27,204,0.0,0.0,9.0,5.0,10.0,9.0,10.0,19.61,15.69,17.65,15.69,17.65,13.73,5.6923076923076925,5.923076923076923,6.384615384615385,6.076923076923077,6.615384615384615,4.384615384615385,5.0,2.0,20.0,0.2369230769230769,26.0,27.923076923076923,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384612,11.637692307692308,15.15,9.692307692307692,6.153846153846154,6.076923076923077,8.076923076923077,4.769230769230769,6.153846153846154,18.12,17.247692307692308,15.713846153846154,17.85153846153846,16.606923076923074,14.467692307692309,7.0,8.0,8.0,8.0,8.0
28,205,0.0,0.0,7.0,8.0,10.0,9.0,5.0,15.38,17.31,19.23,19.23,11.54,17.31,6.076923076923077,6.461538461538462,6.615384615384615,5.923076923076923,5.384615384615385,5.076923076923077,5.769230769230769,2.0,20.0,0.4653846153846154,23.0,27.923076923076923,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384612,11.637692307692308,15.15,9.692307692307692,6.153846153846154,6.076923076923077,8.076923076923077,4.769230769230769,6.153846153846154,18.12,17.247692307692308,15.713846153846154,17.85153846153846,16.606923076923074,14.467692307692309,7.0,8.0,8.0,8.0,8.0
29,207,0.0,23.07692307692307,8.0,8.0,8.0,10.0,9.0,17.31,13.46,17.31,19.23,19.23,13.46,8.538461538461538,6.6923076923076925,7.0,8.0,6.461538461538462,6.153846153846154,7.538461538461538,2.0,20.0,-0.0769230769230769,23.0,27.923076923076923,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384612,11.637692307692308,15.15,9.692307692307692,6.153846153846154,6.076923076923077,8.076923076923077,4.769230769230769,6.153846153846154,18.12,17.247692307692308,15.713846153846154,17.85153846153846,16.606923076923074,14.467692307692309,7.0,8.0,8.0,8.0,8.0
30,210,0.0,15.38461538461538,8.0,8.0,9.0,6.0,9.0,20.0,15.56,20.0,15.56,11.11,17.78,5.846153846153846,7.153846153846154,7.6923076923076925,6.307692307692308,6.153846153846154,6.0,6.6923076923076925,2.0,20.0,0.3907692307692307,29.0,27.923076923076923,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384612,11.637692307692308,15.15,9.692307692307692,6.153846153846154,6.076923076923077,8.076923076923077,4.769230769230769,6.153846153846154,18.12,17.247692307692308,15.713846153846154,17.85153846153846,16.606923076923074,14.467692307692309,7.0,8.0,8.0,8.0,8.0
31,211,0.0,15.38461538461538,7.0,9.0,9.0,9.0,9.0,16.36,16.36,18.18,18.18,16.36,14.55,7.153846153846154,6.384615384615385,6.769230769230769,5.615384615384615,6.230769230769231,5.461538461538462,6.0,2.0,20.0,0.0576923076923076,28.0,27.923076923076923,18.107692307692307,17.161538461538463,19.76923076923077,18.175384615384612,11.637692307692308,15.15,9.692307692307692,6.153846153846154,6.076923076923077,8.076923076923077,4.769230769230769,6.153846153846154,18.12,17.247692307692308,15.713846153846154,17.85153846153846,16.606923076923074,14.467692307692309,7.0,8.0,8.0,8.0,8.0
32,212,0.0,50.0,7.0,9.0,8.0,7.0,9.0,14.29,18.37,18.37,16.33,18.37,14.29,4.5,6.5,6.0,6.5,6.0,7.0,5.5,2.0,20.0,0.21,27.0,29.0,16.655,17.82,18.985,18.985,11.46,16.11,8.5,4.5,4.0,7.0,7.0,7.5,18.845,12.995,17.71,18.845,16.325,15.27,7.0,8.0,8.0,8.0,8.0
33,213,0.0,0.0,8.0,10.0,9.0,9.0,9.0,15.52,17.24,17.24,17.24,17.24,15.52,7.0,7.0,7.5,7.0,7.0,6.5,7.0,2.0,20.0,0.215,25.0,29.0,16.655,17.82,18.985,18.985,11.46,16.11,8.5,4.5,4.0,7.0,7.0,7.5,18.845,12.995,17.71,18.845,16.325,15.27,7.0,8.0,8.0,8.0,8.0
34,214,1.0,8.33333333333333,8.0,10.0,9.0,10.0,8.0,17.02,21.28,17.02,21.28,14.89,8.51,5.666666666666667,7.75,8.083333333333334,6.5,7.5,5.583333333333333,6.75,2.0,20.0,0.2541666666666667,23.0,25.33333333333333,16.459166666666665,17.21,18.750833333333333,17.42833333333333,16.25166666666667,13.9,8.0,7.666666666666667,7.166666666666667,8.25,7.416666666666667,7.0,22.8225,15.540833333333332,13.524166666666666,20.1125,11.9225,16.0825,7.0,8.0,8.0,8.0,8.0
35,215,1.0,0.0,7.0,8.0,9.0,9.0,9.0,14.89,19.15,21.28,19.15,14.89,10.64,4.5,5.5,6.0,6.0,6.5,5.0,6.0,2.0,20.0,-0.37,26.0,24.0,16.515,18.44,17.479999999999997,17.46,12.655,17.46,8.5,8.5,8.0,8.0,8.0,8.0,22.195,18.35,14.745,16.025000000000002,14.98,13.7,7.0,8.0,8.0,8.0,8.0
36,216,1.0,0.0,5.0,10.0,9.0,9.0,10.0,7.5,17.5,20.0,22.5,12.5,20.0,3.0,7.0,6.833333333333333,5.916666666666667,7.083333333333333,4.75,4.666666666666667,2.0,20.0,0.1175,27.0,25.33333333333333,16.459166666666665,17.21,18.750833333333333,17.42833333333333,16.25166666666667,13.9,8.0,7.666666666666667,7.166666666666667,8.25,7.416666666666667,7.0,22.8225,15.540833333333332,13.524166666666666,20.1125,11.9225,16.0825,7.0,8.0,8.0,8.0,8.0
37,217,1.0,33.33333333333333,7.0,10.0,10.0,7.0,10.0,21.28,17.02,21.28,12.77,6.38,21.28,8.333333333333334,8.0,9.583333333333334,6.916666666666667,9.25,6.583333333333333,6.833333333333333,2.0,20.0,0.0816666666666666,26.0,25.33333333333333,16.459166666666665,17.21,18.750833333333333,17.42833333333333,16.25166666666667,13.9,8.0,7.666666666666667,7.166666666666667,8.25,7.416666666666667,7.0,22.8225,15.540833333333332,13.524166666666666,20.1125,11.9225,16.0825,7.0,8.0,8.0,8.0,8.0
38,218,1.0,0.0,7.0,6.0,10.0,3.0,10.0,20.51,5.13,23.08,12.82,17.95,20.51,5.333333333333333,8.083333333333334,8.833333333333334,5.166666666666667,8.5,5.083333333333333,5.333333333333333,2.0,20.0,0.1641666666666666,24.0,25.33333333333333,16.459166666666665,17.21,18.750833333333333,17.42833333333333,16.25166666666667,13.9,8.0,7.666666666666667,7.166666666666667,8.25,7.416666666666667,7.0,22.8225,15.540833333333332,13.524166666666666,20.1125,11.9225,16.0825,7.0,8.0,8.0,8.0,8.0
39,219,1.0,25.0,7.0,7.0,9.0,6.0,6.0,16.28,16.28,18.6,16.28,16.28,16.28,7.75,8.333333333333334,8.166666666666666,8.083333333333334,7.75,6.916666666666667,7.416666666666667,2.0,20.0,0.3008333333333333,26.0,25.33333333333333,16.459166666666665,17.21,18.750833333333333,17.42833333333333,16.25166666666667,13.9,8.0,7.666666666666667,7.166666666666667,8.25,7.416666666666667,7.0,22.8225,15.540833333333332,13.524166666666666,20.1125,11.9225,16.0825,7.0,8.0,8.0,8.0,8.0
40,220,1.0,0.0,10.0,10.0,10.0,10.0,10.0,16.67,16.67,16.67,16.67,14.81,18.52,7.0,7.0,7.0,7.0,7.0,5.0,4.0,2.0,20.0,0.1,25.0,24.0,14.0,18.0,20.0,18.0,16.0,14.0,9.0,6.0,9.0,9.0,7.0,6.0,23.81,14.29,19.05,16.67,14.29,11.9,7.0,8.0,8.0,8.0,8.0
41,221,1.0,0.0,7.0,9.0,9.0,7.0,9.0,15.56,17.78,17.78,17.78,17.78,13.33,3.0,5.5,5.0,3.5,4.0,5.5,3.0,2.0,20.0,0.1,27.0,24.0,16.515,18.44,17.479999999999997,17.46,12.655,17.46,8.5,8.5,8.0,8.0,8.0,8.0,22.195,18.35,14.745,16.025000000000002,14.98,13.7,7.0,8.0,8.0,8.0,8.0
